id,title,category,description,affected_paths,effort,priority,depends_on
E-001,Enforce explicit plugin trust allowlist,security,"Plugin discovery currently allows non-bundled plugins when `plugins.allow` is empty and only emits warnings. Add a strict mode that blocks non-bundled plugin loading unless an explicit allowlist entry or install provenance exists. This reduces accidental local code execution risk and makes trust decisions explicit. The expected outcome is safer default behavior for production and remote-host deployments.","src/plugins/loader.ts,src/plugins/config-state.ts,src/config/zod-schema.ts,docs/gateway/security.md",M,high,
E-002,Add gateway auth handshake matrix tests,testing,"Gateway authentication supports multiple modes (token/password/device identity/trusted-proxy/tailscale) with nuanced role and scope handling. Add table-driven integration tests that exercise successful and failing handshake combinations across WS control-ui and HTTP auth surfaces. This will catch regressions in policy enforcement before release. The expected outcome is stronger confidence in auth boundary behavior.","src/gateway/server/ws-connection/message-handler.ts,src/gateway/auth.ts,src/gateway/server-http.ts,src/gateway/test-with-server.ts",M,high,
E-003,Expand cross-channel route contract tests,testing,"Routing correctness depends on channel/account/peer/thread inputs and binding precedence in `resolveAgentRoute`. Add contract tests that cover per-channel peer normalization, parent-peer fallback, guild/team/role matches, and session-key derivation for thread variants. This prevents subtle misroutes and session contamination when new channels or bindings are added. The expected outcome is stable routing semantics across core and extension channels.","src/routing/resolve-route.ts,src/routing/resolve-route.test.ts,src/routing/session-key.ts,test/helpers/inbound-contract.ts",M,high,
E-004,Expose channel restart telemetry via gateway RPC,feature,"Channel runtime state already tracks reconnect attempts, last errors, and start/stop timestamps in the channel manager. Expose this state through a dedicated gateway RPC payload and include it in status output so operators can quickly detect flapping channels. This improves operability without requiring log spelunking. The expected outcome is faster incident triage for channel outages.","src/gateway/server-channels.ts,src/gateway/server-methods/channels.ts,src/commands/status.ts,src/commands/gateway-status.ts",M,high,
E-013,Add web chat reliability regression suite,testing,"Web chat regressions around streaming and empty-turn rendering are only partially covered by unit tests today. Add scenario tests for indicator state transitions (`reading` -> `stream` -> `final`), session-key alias handling (`main` vs `agent:main:main`), sequence-gap recovery, and empty-assistant payload rendering. This prevents recurrence of blank-response and stuck-working UI behavior. The expected outcome is faster, safer UI changes with deterministic confidence.","ui/src/ui/controllers/chat.test.ts,ui/src/ui/views/chat.test.ts,ui/src/ui/app-gateway.node.test.ts,ui/src/ui/chat/grouped-render.ts",M,high,
E-015,Default-enable context pruning with configurable policy,perf,"Context pruning exists but currently requires explicit opt-in, so long sessions often replay oversized history. Enable pruning by default for eligible providers and expose full controls in config (`agents.defaults.contextPruning` plus per-agent overrides) with conservative defaults that preserve answer quality. Include a one-flag off switch for operators who need legacy behavior. The expected outcome is lower token burn without changing day-one setup.","src/agents/pi-extensions/context-pruning/settings.ts,src/agents/pi-embedded-runner/extensions.ts,src/config/zod-schema.ts,docs/concepts/session-pruning.md",M,high,
E-016,Enforce preflight prompt token budgets,perf,"OpenRouter traces show very large input prompts and regular 100k+ token turns. Add a preflight budget guard that estimates request size before each LLM call and applies configurable soft/hard actions (trim, summarize, or block with actionable error). Expose defaults globally with per-model overrides so operators can tune cost versus recall. The expected outcome is bounded worst-case cost and fewer pathological long-context calls.","src/agents/pi-embedded-runner/run/attempt.ts,src/agents/context-window-guard.ts,src/config/zod-schema.ts,docs/concepts/models.md",M,high,E-015
E-018,Add cost-aware model routing tiers,feature,"Model selection should route cheap turns to cheap models and escalate only when needed. Implement configurable routing tiers for planner/tool loops versus synthesis turns, with explicit escalation triggers and OpenRouter provider routing passthrough controls. Keep sensible defaults so existing users get lower cost automatically while advanced users can pin stricter policies. The expected outcome is materially lower spend with stable response quality.","src/agents/model-fallback.ts,src/agents/pi-embedded-runner/extra-params.ts,src/agents/models-config.providers.ts,docs/concepts/model-failover.md",M,high,
E-005,Unify inbound dispatch pipeline across channels,refactor,"Channel providers repeat similar logic for allowlist checks, route resolution, session updates, typing/reply dispatch, and diagnostics. Extract a shared inbound orchestration layer with channel-specific adapters for transport details only. This reduces duplicated control flow and makes behavioral changes safer across all channels. The expected outcome is lower regression risk and easier onboarding for new channels.","src/auto-reply/dispatch.ts,src/telegram/bot-message-context.ts,src/discord/monitor/message-handler.process.ts,src/slack/monitor/message-handler/dispatch.ts,src/signal/monitor/event-handler.ts,src/imessage/monitor/monitor-provider.ts",L,high,
E-006,Split oversized provider files by responsibility,refactor,"Several provider files combine bootstrapping, policy resolution, transport handling, and delivery orchestration in single large modules. Split these into focused submodules (config resolution, listener wiring, dispatch, delivery, retry) with explicit interfaces. This improves reviewability, test targeting, and defect isolation. The expected outcome is easier maintenance and safer incremental changes.","src/discord/monitor/provider.ts,src/telegram/bot-handlers.ts,src/signal/monitor.ts,src/imessage/monitor/monitor-provider.ts",L,high,E-005
